ABRILA,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_9,__EMPTY_10,__EMPTY_12,__EMPTY_13
"CÓDIGO","DESCRIPCIÓN","UNID.","IMPORTE BRUTO","DTO.","IVA 21% + R.E 5,2%","MARGEN 30%","PVP WEB","P.V.P FINAL CLIENTE","BENEFICIO UNITARIO","BENEFICIO TOTAL","VENDIDAS","QUEDAN EN TIENDA"
"VENTILADOR SOBREMESA",,,,,,,,,,,,
"238071009","VENTILADOR SOBREMESA PIZARRO MINI NEGRO 2V - 20W","4","7.96","7.164","9.040968","11.7532584","15.92","15","5.9590320000000006","23.836128000000002",,
"240071001","MINIVENTILADOR SOBREMESA - INALAMBRICO 5W ","3","8.95","8.055","10.16541","13.215033","17.9","18","7.83459","23.503770000000003",,
"238071109","VENTILADOR SOBREMESA PIZARRO PEQUEÑO NEGRO 2V - 25W","3","11.98","10.782","13.606884","17.688949200000003","23.96","23","9.393116","28.179347999999997",,
"238071209","VENTILADOR SOBREMESA PIZARRO MEDIANO NEGRO 35W","4","12.97","11.673","14.731326000000001","19.1507238","25.94","25","10.268673999999999","41.074695999999996",,
"241871001","VENTILADOR SOBREMESA INALAMBRICO AGUILA BLANCO","2","12.89","11.601","14.640462000000001","19.032600600000002","25.78","25","10.359537999999999","20.719075999999998",,
"184171201","VENTILADOR SOBREMESA CAPE BLANCO - 2V - 25W","4","12.89","11.601","14.640462000000001","19.032600600000002","25.78","25","10.359537999999999","41.438151999999995",,
"184171101","VENTILADOR SOBREMESA CAPE BLANCO - 3V - 35W","4","13.92","12.528","15.810336000000001","20.553436800000004","27.84","28","12.189663999999999","48.758655999999995",,
"242071015","VENTILADOR SOBREMESA INALAMBRICO PACHECO BLANCO","2","14.97","13.473","17.002926000000002","22.103803800000005","29.94","30","12.997073999999998","25.994147999999996",,
,,,,"0","0","0",,,"0","0",,
,,,,"0","0","0",,,"0","0",,
"VENTILADOR DE PIE",,,,,,,,,,,,
"183941001","VENTILADOR DE PIE ETESIO BLANCO - 3V 40W - OSCILANTE","5","14.98","13.482","17.014284","22.1185692","29.96","30","12.985716","64.92858",,
"183941009","VENTILADOR DE PIE NEGRO - 3V - 40W- OSCILANTE","5","14.98","13.482","17.014284","22.1185692","29.96","30","12.985716","64.92858",,
"184041001","VENTILADOR DE PIE BISE BLANCO 3V 45W - OSCILANTE","2","20.97","18.872999999999998","23.817725999999997","30.963043799999998","41.94","40","16.182274000000003","32.364548000000006",,
,,,,"0","0","0",,,"0","0",,
"VENTILADOR TORRE",,,,"0","0","0",,,"0","0",,
"238371009","VENTILADOR TORRE CUCO NEGRO 3VEL. 50W","2","19.9","17.91","22.60242","29.383146","39.8","40","17.39758","34.79516",,
,,,,"0","0","0",,,"0","0",,
,,,,"0","0","0",,,"0","0",,
"VENTILADOR PORTATIL",,,,"0","0","0",,,"0",,,
"242171028","VENTILADOR INALAMBRICO PC PORTATIL JERICO BLANCO","3","9.89","8.901","11.233062","14.6029806","19.78","19","7.766938","23.300814",,
,,,,"0","0","0",,,"0","0",,
,,,,"0","0","0",,,"0","0",,
"VENTILADOR TECHO",,,,"0","0","0",,,"0","0",,
"142591403","VENTILADOR BAYOMO - NIQUEL - 4 ASPAS - 59W","5","40.09","36.081","45.53422200000001","59.194488600000014","79.94","80","34.46577799999999","172.32888999999997","1","4"
"142591401","VENTILADOR BAYOMO - BLANCO - 4 ASPAS - 59W","10","40.09","36.081","45.53422200000001","59.194488600000014","79.94","80","34.46577799999999","344.65777999999995",,
"165391401","VENTILADOR PC DANI - BLANCO - 6VEL. ","3","40.1","36.09","45.54558000000001","59.209254000000016","79.96","80","34.45441999999999","103.36325999999997",,
"142791401","VENTILADOR DC MATANUSKA 72W BLANCO - BLUETHOOT","2","70.09","63.081","79.608222","103.4906886","139.94","139","59.391778","118.783556",,
"142791403","VENTILADOR DC MATANUSKA 72W NIQUEL - BLUETHOOT","2","70.09","63.081","79.608222","103.4906886","139.94","139","59.391778","118.783556",,
,,,,"0","0","0",,,"0","0",,
,,,,"0","0","0",,,"0","0",,
,,,,"0","0","0",,,"0","0",,
,,,,"0","0","0",,,"0","0",,
,,,,"0","0","0",,,"0","0",,
,,,,"0","0","0",,,"0","0",,
,,,,"0","0","0",,,"0","0",,
,,,,"0","0","0",,,"0","0",,
,,,,"0","0","0",,,"0",,,
,,,,"0","0","0",,,"0",,,
,,,,"0","0","0",,,"0",,,
,,,,"0","0","0",,,"0",,,
,,,,"0","0","0",,,"0",,,
,,,,"0","0","0",,,"0",,,
,,,,"0","0","0",,,"0",,,
,,,,"0","0","0",,,"0",,,
,,,,"0","0","0",,,"0",,,
,,,,"0","0","0",,,"0",,,
,,,,"0","0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
,,,,,"0","0",,,"0",,,
