EAS ELECTRIC & JOHNSON ,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_10,__EMPTY_11,__EMPTY_13,__EMPTY_14
"CÓDIGO","DESCRIPCIÓN","UNID.","IMPORTE BRUTO","DTO (5%, 10%...)","OTROS DTO","IVA 21% + RECARGO 5,2%","MARGEN 30%","PVP WEB","P.V.P FINAL CLIENTE","BENEFICIO UNITARIO","BENEFICIO TOTAL","VENDIDAS","QUEDAN EN TIENDA"
"A/A",,,,,,,,,,,,,
,,,,"0","0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
"AMERICANOS",,,,,,"0","0",,,"0",,,
,,,,,"0","0","0",,,"0","0",,
"COCINAS",,,,,"0","0","0",,,"0","0",,
"CONA90PBX","(JOHNSON) COCINA 90CM HORNO/PORTABOM INOX","1","353.12","353.12","353.12","445.63744","579.3286720000001","615","559","113.36255999999997","113.36255999999997",,
,,,,,"0","0","0",,,"0",,,
"COMBIS 1,85,88M",,,,,"0","0","0",,,"0",,,
"JRC1852EMX","(JOHNSON) COMBI NF 186X59X60 CLASE E INOX ","1","290.7","261.63","259.0137","326.8752894","424.93787622","549","479","152.12471060000001","152.12471060000001",,
,,,,"0","0","0","0",,,"0","0",,
"COMBIS 2M",,,,,"0","0","0",,,"0",,,
"EMC2010SW1","(EAS) NF 201X59,5X63 CLASE E BLANCO","4","355.98","320.382","317.17818","400.27886316","520.362522108","675","459","58.721136839999986","234.88454735999994","3","1"
"EMC2010SX1","(EAS) NF 201X59,5X63 CLASE E INOX","2","376.38","338.74199999999996","335.35457999999994","423.21747995999993","550.182723948","699","469","45.782520040000065","91.56504008000013","1","1"
"JRC200AN2X","(JOHNSON) NF 201X59,5X70 CLASE A INOX","2","661.98","628.881","622.59219","785.71134378","1021.424746914","999","999","213.28865622","426.57731244",,
,,,,,"0","0","0",,,"0",,,
"GEMELAR 1P",,,,,"0","0","0",,,"0",,,
"JRZ185ENX","(JOHNSON) CONGELADOR VERTICAL 1P 1,85M INOX","1","451.01","419.4393","415.244907","524.039072634","681.2507944242001","750","699","174.96092736599996","174.96092736599996",,
,,,,"0","0","0","0",,,"0","0",,
"CONGELADOR",,,,"0","0","0","0",,,"0","0",,
,,,,,"0","0","0",,,"0",,,
"FRIGOS 2P.",,,,"0","0","0","0",,,"0","0",,
"JRD176E","(JOHNSON) FRIGORÍFICO 2P - 1,76M","2","225.88","225.88","223.6212","282.2099544","366.87294072000003","459","369","86.79004559999998","173.58009119999997","1","1"
,,,,,"0","0","0",,,"0",,,
"MICROONDAS",,,,,"0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0","0",,
"LAVADORAS",,,,"0","0","0","0",,,"0","0",,
"DUERO90","(JOHNSON) LAVADORA CF 9KG 1400RPM A BLANCA","3","253.98","241.281","238.86819","301.45165578","391.88715251400004","449","389","87.54834421999999","262.64503265999997","2","1"
"MUNDO80","(JOHNSON) LAVADORA CS 8KG - 13000RPM NERVION ","1","287.47","258.723","256.13577000000004","323.24334174000006","420.2163442620001","495","459","135.75665825999994","135.75665825999994",,
"DUERO80XA","(JOHNSON) LAVADORA CF 8KG - 1400RPM - INOX","2","243.78","219.402","217.20798","274.11647075999997","356.351411988","429","379","104.88352924000003","209.76705848000006",,
"EBRO120","(JOHNSON) LAVADORA CF 12KG - 1400RPM - BLANCA","1","304","273.6","270.86400000000003","341.830368","444.37947840000004","617","499","157.16963199999998","157.16963199999998",,
,,,,"0","0","0","0",,,"0","0",,
"SECADORAS",,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
"LAVAVAJILLAS",,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
"CALEFACTOR",,,,"0","0","0","0",,,"0","0",,
"EHH210","(EAS) CONVECTOR CRISTAL NEGRO 1500W (3VEL.) ","2","59","53.1","52.569","66.342078","86.24470140000001","105","70","3.6579219999999992","7.3158439999999985","1","1"
"EHR2500","(EAS) RADIADOR ACEITE 2500W ECO+27%","2","75","67.5","66.825","84.33315","109.63309500000001","139","89","4.666849999999997","9.333699999999993",,
"EPLEX42","(EAS) ESTUFA DE GAS 4200W (TRIPLE SEGURIDAD)","1","59","53.1","52.569","66.342078","86.24470140000001","99","70","3.6579219999999992","3.6579219999999992",,
"EHF205RC","(EAS) CALEFACTOR CERÁMICO 2000W/OSCILACIÓN","1","37","33.3","32.967","41.604354","54.0856602","67","40","-1.6043540000000007","-1.6043540000000007","1","1"
,,,,"0","0","0","0",,,"0","0",,
"PLACAS",,,,"0","0","0","0",,,"0","0",,
"JVICA330","(JOHNSON) PLACA VITRO 3 ZONAS CONTROL DESL","1","111.18","105.62100000000001","104.56479000000002","131.96076498000002","171.54899447400004","225","199","67.03923501999998","67.03923501999998",,
"EMH461GBNX","(EAS) ENCIMERA GAS 4 FUEGOS 60CM INOX","1","75.14","63.869","63.23031","79.79665122","103.735646586","165","99","19.20334878","19.20334878",,
,,,,,"0","0","0",,,"0",,,
"HORNOS",,,,"0","0","0","0",,,"0","0",,
"ENV28","(EAS) HORNO SOBREMESA 28L","3","54.64","49.176","48.68424","61.43951088000001","79.87136414400001","89","89","27.560489119999993","82.68146735999997","2","1"
"ENV38","(EAS) HORNO SOBREMESA 38L","3","65.81","59.229","58.63671","73.99952802","96.199386426","109","99","25.00047198","75.00141594","1","2"
"JOR70B","(JOHNSON) HORNO BLANCO 70L - 8 FUNCIONES","1","198.9","198.9","196.911","248.50168200000002","323.0521866","399","325","76.49831799999998","76.49831799999998",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0","0",,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
,,,,"0","0","0","0",,,"0",,,
