,,,,,,,,,,,,,,,,,,,,
,FRIGORÍFICOS,,,,,,,,,,,,,,,,,,,
,CÓDIGO,DESCRIPCIÓN,UNID.,IMPORTE BRUTO,DTO,"IVA 21% + RECARGO 5,2%",PRECIO CON MARGEN 25%,P.V.P     WEB,P.V.P FINAL CLIENTE,,VENDIDAS,QUEDAN EN TIENDA,,BENEFICIO UNITARIO,BENEFICIO TOTAL,,,,,
,,,,,,,,,,,,,,,,,,,,
,85CM,,,,  -   € ,  -   € ,,,,,,,,,,,,,,
3ºCAMION,ECFMMB42BL,MINIBAR NEGRO CORBERÓ,1,"  93,55 € ","  93,55 € ","  118,06 € ","  147,58 € ","  154,81 € ","  149,00 € ",,,,,"  30,94 € ","  30,94 € ",,,,,
,CCTOS544W,FRIGO. 1P 85CM BLANCO CANDY,1,"  147,15 € ","  147,15 € ","  185,70 € ","  232,13 € ",,"  235,00 € ",,,,,"  49,30 € ","  49,30 € ",,,,,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,,,,,
,"1,43M",,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,,,,,
,F1PBHW143,FRIG 1P BENAVENT,1,"  166,77 € ","  166,77 € ","  210,46 € ","  263,08 € ","  285,90 € ","  269,00 € ",,,,,"  58,54 € ","  58,54 € ",,,,,
DEPOSITO,CCLH14322W,"FRIG. 1 PUERTA CORBERÓ 1,43CM",8,"  186,02 € ","  186,02 € ","  234,76 € ","  293,45 € ","  307,84 € ","  279,00 € ",,,,,"  44,24 € ","  353,94 € ",EN DEPOSITO (CUANDO VENDAMOS 1 AVISAR A PACO),,,,
REBAJADO,ECF2PG148RR,FRIG 2P. CORBERÓ RETRO ROJO ,1,"  279,57 € ","  279,57 € ","  352,82 € ","  441,02 € ","  462,64 € ","  389,00 € ",449 €,,,,"  36,18 € ","  36,18 € ",,,,,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,,,,,
,"1,60M",,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,,,,,
5ºCAMION,F2PBVEW160,"FRIGO 2P. BENAVENT 1,60X55 - BLANCO",1,"  170,97 € ","  170,97 € ","  215,76 € ","  280,49 € ","  314,09 € ","  290,00 € ",,,,,"  74,24 € ","  74,24 € ",,,,,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,,,,,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,,,,,
,"1,76M",,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,,,,,
5ºCAMION,CBME176550NFEW,COMBI BENAVENT NO FROST 1.76X55-BLANCO,3,"  215,05 € ","  215,05 € ","  271,39 € ","  352,81 € ",,"  355,00 € ",,1,2,,"  83,61 € ","  250,82 € ",,,,,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,,,,,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,,,,,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,,,,,
,"1,85M",,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,,,,,
,CBM185EX,COMBI BENAVENT 185X60 NF INOX,5,"  256,10 € ","  240,96 € ","  304,10 € ","  380,12 € ","  413,17 € ","  389,00 € ",,,,,"  84,90 € ","  424,51 € ",,,,,
4ºCAMION,CCHGL185NFW,COMBI CORBERO NF CRISTAL BLANCO,1,"  376,34 € ","  376,34 € ","  474,94 € ","  593,68 € ","  664,31 € ","  629,00 € ",,,,,"  154,06 € ","  154,06 € ",,,,,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,,,,,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,,,,,
,2M,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,,,,,
,CCH200322NFW,COMBI CORBERÓ BLANCO 2M,6,"  327,96 € ","  327,96 € ","  413,89 € ","  517,36 € ","  542,72 € ","  499,00 € ",,5,1,,"  85,11 € ","  510,69 € ",1 de ellos vendido a 490€  angeles,,,,
DEPOSITO,CCE4T620EX,COMBI CANDY INOX 2M,8,"  373,48 € ","  373,48 € ","  471,33 € ","  589,16 € ","  564,89 € ","  559,00 € ",,5,3,,"  87,67 € ","  701,35 € ",EN DEPOSITO (CUANDO VENDAMOS 1 AVISAR A PACO),,,,"EL 1/10/24 - COBRADOS 2 COMBIS 964,67€ "
DEPOSITO,3KFE768BI,COMBI NF BALAY NEGRO CRISTAL,1,"  767,42 € ","  767,42 € ","  968,48 € ","  1.210,61 € ","  1.130,22 € ","  1.099,00 € ",1159,,,,"  130,52 € ","  130,52 € ",EN DEPOSITO (CUANDO VENDAMOS 1 AVISAR A PACO),,,,
,CBM200EX,COMBI BENAVENT INOX,3,"  279,57 € ","  279,57 € ","  352,82 € ","  458,66 € ","  548,08 € ","  469,00 € ",,,,,"  116,18 € ","348,54798",,,,,
,CBM200EW,COMBI BENAVENT BLACNO 2M,3,"  268,82 € ","  268,82 € ","  339,25 € ","  441,03 € ","  527,00 € ","  479,00 € ",,,,,"  139,75 € ","419,24748",,,,,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,,,,,,
,AMERICANOS,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,,,,,,
4ºCAMION,CFSBSH730NFX,AMERICANO CORBERÓ NF 442L INOX,8,"  376,34 € ","  376,34 € ","  474,94 € ","  593,68 € ","  664,31 € ","  599,00 € ",,7,1,,"  124,06 € ","  992,47 € ",,,,,
,AA18900FNF,AMERICANO ASPES NO FROST,1,"  445,89 € ","  445,89 € ","  562,71 € ","  703,39 € ","  674,41 € ","  589,00 € ",669,,,,"  26,29 € ","  26,29 € ",,,,,
,ECFFDH339NFXINV,COMBI CORBERÓ 320L CAJONES,2,"  434,41 € ","  434,41 € ","  548,23 € ","  685,28 € ","  718,89 € ","  589,00 € ",689,1,1,,"  40,77 € ","  81,55 € ",REBAJADO,,,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,,,,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,,,,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,,,,,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,,,,,,
