,,,,,,,,,,,,,,,,
,HORNOS,,,,,,,,,,,,,,,
,CÓDIGO,DESCRIPCIÓN,UNID.,IMPORTE BRUTO,DTO,"IVA 21% + RECARGO 5,2%",PRECIO CON MARGEN 25%,P.V.P     WEB,P.V.P FINAL CLIENTE,,VENDIDAS,QUEDAN EN TIENDA,,BENEFICIO UNITARIO,BENEFICIO TOTAL,
,MULTIFUNCIÓN,,,,,,,,,,,,,,,
,FIDCN100,HORNO CANDY 70L,2,"  131,86 € ","  127,90 € ","  161,42 € ","  201,77 € ","  212,74 € ","  209,00 € ",,1,1,,"  47,58 € ","  95,17 € ",
4ºCAMION,CCHM703X,HORNO CORBERÓ 65L CRISTAL NEGRO,5,"  129,00 € ","  129,00 € ","  162,80 € ","  203,50 € ","  241,06 € ","  239,00 € ",,4,1,,"  76,20 € ","  381,01 € ",
4ºCAMION,CCHMD803N,HORNO MF CORBERÓ 70L CRISTAL NEGRO,14,"  153,23 € ","  153,23 € ","  193,38 € ","  241,72 € ","  284,71 € ","  279,00 € ",,9,5,,"  85,62 € ","  1.198,73 € ",
,CCHMD807XG,HORNO MF CORBERÓ INOX MF,3,"  158,06 € ","  158,06 € ","  199,47 € ","  249,34 € ","  298,94 € ","  295,00 € ",,,,,"  95,53 € ","  286,58 € ",
,BBSE12120X,CONJUNTO BEKO INOX HORNO+VITRO,1,"  256,70 € ","  256,70 € ","  323,96 € ","  404,94 € ","  378,05 € ","  375,00 € ",,,,,"  51,04 € ","  51,04 € ",
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,MINIHORNOS,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,HO392,MINO HORNO ORBEGOZO 39L NEGRO,1,"  63,45 € ","  63,45 € ","  80,07 € ","  100,09 € ","  95,97 € ","  95,00 € ",,,,,"  14,93 € ","  14,93 € ",
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,COCINA/GAS,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
DEPOSITO,GM15310DB,COCINA+HORNO NEGRO GRANDE,1,"  394,61 € ","  394,61 € ","  498,00 € ","  622,50 € ","  617,66 € ","  649,00 € ",,,,,"  151,00 € ","  151,00 € ",EN DEPOSITO (CUANDO VENDAMOS AVISAR A PACO)
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € ,
