ALFADYSER,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_9,__EMPTY_11,__EMPTY_12,__EMPTY_14,__EMPTY_15
"CÓDIGO","DESCRIPCIÓN","UNID.","IMPORTE BRUTO","DTO","RECARGO ALFADYSER","TOTAL ","IVA + RECARGO (X1,262%)","MARGEN ","P.V.P FINAL CLIENTE","BENEFICIO UNITARIO","BENEFICIO TOTAL","VENDIDAS","QUEDAN EN TIENDA"
"ALTAVOZ",,,,,,,,,,,,,
"24868","ALTAVOZ BLUETOOTH","1","9.7","9.215","0.4","9.615","12.13413","15.774369000000002","19","6.865869999999999","6.865869999999999",,
,,,,"0",,"0","0","0",,"0","0",,
"BATIDORAS",,,,"0",,"0","0","0",,"0",,,
"33696","(KUKEN) BATIDORA VASO CRISTAL 1000W","1","29.9","28.404999999999998","0.65","29.054999999999996","36.66741","47.667632999999995","50","13.332590000000003","13.332590000000003",,
"39968","(KUKEN) BATIDORA VASO CRISTAL 1500W - 1,5L","2","31.9","30.305","0.65","30.955","39.06521","50.784773","55","15.93479","31.86958","1","1"
,,,,"0",,"0","0","0",,"0","0",,
"COCINA",,,,"0",,"0","0","0",,"0","0",,
"30090","COCINA PORTATIL YREGAS 1FUEGO ","3","17.7","16.814999999999998",,"16.814999999999998","21.220529999999997","27.586688999999996","35","13.779470000000003","41.33841000000001","2","1"
,,,,"0",,"0","0","0",,"0","0",,
"CAFETERAS",,,,"0",,"0","0","0",,"0","0",,
"36377","CAFETERA ITALIANA 3TAZAS GRIS","3","5.4","5.130000000000001",,"5.130000000000001","6.4740600000000015","8.416278000000002","9","2.5259399999999985","7.577819999999996",,
"37194","CAFETERA ITALIANA 9TAZAS NEGRA","3","8.7","8.264999999999999",,"8.264999999999999","10.43043","13.559559","15","4.569570000000001","13.708710000000002","1","2"
"37511","CAFETERA ITALIANA 9TAZAS GRIS","3","8.7","8.264999999999999",,"8.264999999999999","10.43043","13.559559","15","4.569570000000001","13.708710000000002",,
"34190","CAFETERA DE CAPSULAS 3 EN 1 BLANCA","1","79.7","75.715","0.65","76.36500000000001","96.37263000000002","125.28441900000003","99","2.627369999999985","2.627369999999985",,
"34342","CAFETERA DE CAPSULAS 3 EN 1   ROJO","1","79.7","75.715","0.65","76.36500000000001","96.37263000000002","125.28441900000003","99","2.627369999999985","2.627369999999985",,
,,,,"0",,"0","0","0",,"0","0",,
"PELO HOMBRE",,,,"0",,"0","0","0",,"0",,,
"34364","CORTAPELO BARBA/CUERPO KUKEN DORADO","3","20.95","19.9025","0.65","20.5525","25.937254999999997","33.718431499999994","30","4.062745000000003","12.18823500000001","2","1"
,,,,"0",,"0","0","0",,"0",,,
"EXPRIMIDOR",,,,"0",,"0","0","0",,"0","0",,
"34074","EXPRIMIDOR NARANJAS KUKEN","3","7.9","7.505000000000001","0.65","8.155000000000001","10.291610000000002","13.379093000000003","15","4.708389999999998","14.125169999999994","2","1"
,,,,"0",,"0","0","0",,"0","0",,
"FREIDORAS",,,,"0",,"0","0","0",,"0","0",,
"34376","FREIDORA SIN ACEITE 2L ","3","25.7","24.415","0.65","25.064999999999998","31.632029999999997","41.121638999999995","45","13.367970000000003","40.10391000000001","2","1"
"34391","FREIDORA SIN ACEITE 5L CON VENTANA","6","34.49","32.7655","0.65","33.4155","42.170361","54.821469300000004","70","27.829639","166.977834","3","3"
"34368","FREIDORA SIN ACEITE, DIGITAL,  5L CON VENTANA, BLANC","6","39","37.05","0.65","37.699999999999996","47.5774","61.85062","79","31.422600000000003","188.53560000000002",,
"34409","FREIDORA SIN ACEITE, DIGITAL,  5L CON VENTANA, NEGRA","1","41.9","33.519999999999996","0.65","34.169999999999995","43.122539999999994","56.059301999999995","69","25.877460000000006","25.877460000000006",,
"34409","FREIDORA SIN ACEITE, DIGITAL,  5L CON VENTANA, NEGRA","1","41.9","37.71","0.65","38.36","48.41032","62.933416","69","20.58968","20.58968",,
,,,,"0",,"0","0","0",,"0","0",,
"QUITAPELUSAS",,,,"0",,"0","0","0",,"0","0",,
"34020","(KUKEN) QUITAPELUSAS PILAS ","3","5.3","5.3","0.65","5.95","7.508900000000001","9.76157","9","1.4910999999999994","4.473299999999998","1","2"
,,,,"0",,"0","0","0",,"0",,,
"SANDWICHERA",,,,"0",,"0","0","0",,"0","0",,
"36007","SANDWICHERA 2PCS, 750W KUKEN","6","10.9","10.355","0.65","11.005","13.88831","18.054803","20","6.111689999999999","36.670139999999996","3","3"
,,,,"0",,"0","0","0",,"0","0",,
"SECADOR",,,,"0",,"0","0","0",,"0","0",,
"36042","(KUKEN) SECADOR PROF. DELUXE IONICO 2300W","3","17","16.15","0.65","16.799999999999997","21.201599999999996","27.562079999999995","30","8.798400000000004","26.395200000000013","1","2"
,,,,"0",,"0","0","0",,"0","0",,
"TOSTADOR",,,,"0",,"0","0","0",,"0","0",,
"34045","(KUKEN) TOSTADOR PLASTICO 2PC 750W","3","10.9","10.355","0.65","11.005","13.88831","18.054803","19","5.111689999999999","15.335069999999998","1","2"
"30742","(KUKEN) TOSTADORA PLANA - 600W","3","13.9","13.205","0.65","13.855","17.48501","22.730513","25","7.514990000000001","22.544970000000003",,
"30288","(KUKEN) TOSTADOR PLASTICO 2PC 750W","4","15.7","14.915","0.65","15.565","19.64303","25.535939","30","10.35697","41.42788","2","2"
"38087","(KUKEN) TOSTADOR PLASTICO 4PC 1400W","4","19.9","18.904999999999998","0.65","19.554999999999996","24.678409999999996","32.081933","35","10.321590000000004","41.286360000000016","2","1"
,,,,"0",,"0","0","0",,"0","0",,
"PLANCHA",,,,"0",,"0","0","0",,"0","0",,
"36007","(KUKKEN) PLANCHA VAPOR SUELA CERAMICA 2600W","3","11","10.45","0.65","11.1","14.0082","18.21066","30","15.9918","47.9754","1","2"
,,,,"0",,"0","0","0",,"0","0",,
"VENTILADORES",,,,"0",,"0","0","0",,"0","0",,
"31516","(KUKEN) VENTILADOR SOBREMESA 45W","4","14.42","13.699","0.75","14.449","18.234638","23.7050294","25","6.765362","27.061448","2","2"
"31515","(KUKEN) VENTILADOR PIE 45W","3","15.16","14.402000000000001","0.75","15.152000000000001","19.121824","24.8583712","30","10.878176","32.634528","2","1"
"34138","VENTILADOR SUELO 45W","4","18.84","17.898","0.75","18.648","23.533776","30.5939088","35","11.466224","45.864896","2","2"
"31518","VENTILADOR TORRE 45W","2","25.58","24.301","0.75","25.051","31.614362","41.0986706","40","8.385638","16.771276","1","1"
"LUZ",,,,"0",,"0","0","0",,"0","0",,
"26916","LUZ LED NOCTURNA 1W REDONDO","24","1.07","1.0165","0.1","1.1165","1.4090230000000001","1.8317299000000002","3","1.5909769999999999","38.183448",,
"24978","EXPOSITOR LINTERNA LED 1W ","12","1.15","1.0924999999999998","0.03","1.1224999999999998","1.4165949999999998","1.8415734999999998","3","1.5834050000000002","19.000860000000003","9","3"
"24978","EXPOSITOR LINTERNA LED 1W","12","1.15","1.0924999999999998","0.03","1.1224999999999998","1.4165949999999998","1.8415734999999998","3","1.5834050000000002","19.000860000000003",,
"21861","LINTERNA LED FRONTAL 1W","12","2.5","2.375","0.03","2.405","3.03511","3.945643","9","5.9648900000000005","71.57868","1","11"
"24198","LED ANTIMOSQUITOS 5W","3","8.27","7.8565","0.3","8.1565","10.293503","13.3815539","15","4.706497000000001","14.119491000000002",,
,,,,"0",,"0","0","0",,"0","0",,
"OTROS",,,,"0",,"0","0","0",,"0","0",,
"34560","ENCENDEDOR LLAMA RECARGABLE","12","0.9","0.855",,"0.855","1.07901","1.402713","3","1.92099","23.05188","3","8"
"20250","RAQUETA ELECTRICA MATAINSECTOS","6","2.09","1.9854999999999998","0.2","2.1854999999999998","2.758101","3.5855313","5","2.241899","13.451394","5","1"
"32465","TENACILLA CARNE","4","6.84","6.498",,"6.498","8.200476","10.6606188","12","3.799524","15.198096",,
"24198","PORTATIL RECARGABLE POWERBANK ANTIMOSQUITOS","3","7.86","7.4670000000000005",,"7.4670000000000005","9.423354000000002","12.250360200000003","19","9.576645999999998","28.729937999999997",,
"24638","EXPOSITOR PILAS 40 BLISTER","40","25","23.75","1.6","25.35","31.9917","41.58921","42","10.008299999999998","400.33199999999994",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
,,,,"0",,"0","0","0",,"0","0",,
