MIELECTRO,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_9,__EMPTY_11,__EMPTY_12,__EMPTY_14,__EMPTY_15
"CÓDIGO","DESCRIPCIÓN","UNID.","IMPORTE BRUTO","DTO","TOTAL","IVA 21% + RECARGO 5,2%","MARGEN ","PVP WEB","P.V.P FINAL CLIENTE","BENEFICIO UNITARIO","BENEFICIO TOTAL","VENDIDAS","QUEDAN EN TIENDA"
"A/A",,,,,"0","0",,,,,,,
"236724","(ARTICA) SPLIT INTERIOR ESA12IN/EXTERIOR ESA12EX","2","202.2","15.2","187","235.994","306.79220000000004","326.22","325","89.006","178.012",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
"CONGELADOR",,,,,"0","0","0","0",,"0",,,
"242338","CONGELADOR HORIZ. TENSAI (SIF240F) 86X83X66 180L","1","238.76","215","11.18","45.15","271.33","352.729","360","88.67000000000002","88.67000000000002","1","0"
"ENVASADORA",,,,,"0","0","0","0",,"0",,,
"234576","ENVASADORA LAICA PRO (VT3104)","1","27.46",,"1.42792","5.7665999999999995","34.65452","45.050876","35","0.345480000000002","0.345480000000002",,
"254603","BOLSA ENVASADORA LAICA (VT3501)","1","13.29",,"0.69108","2.7908999999999997","16.77198","21.803574","15","-1.7719799999999992","-1.7719799999999992",,
"TV",,,,,,,,,,,,,
"6941948700093","TV 32"" XIAOMI 2025 - HD GOOGLE TV","1","106.8",,"106.8","134.7816","175.21608","163","165","30.218400000000003","30.218400000000003",,
"65P631","TV TCL 65"""" UHD GOOGLETV","1","419.4","46.14","373.26","471.05412","612.370356","554.04","699","227.94588","227.94588","1","0"
"85A6K","TV HISENSE 85"" SMART TV","1","826.39","90.9","735.49","928.18838","1206.644894","1199.92","1290","361.81161999999995","361.81161999999995","1","0"
"65UR78006LK","TV LG 65""","1","458.17","34.37","423.8","534.8356",,,,"-534.8356","-534.8356","1","0"
,,,,,"0","0",,,,"0","0",,
"SOPORTE TV",,,,,"0","0",,,,,,,
"WM2610/2611","SOPORTE ONE FOR ALL FIJO 40"""" A 84""""","1","12.79",,"12.79","16.14098","20.983273999999998","18.57","49","32.85902","32.85902","1","0"
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,,,,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,,,,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,,,,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,,,,
,,,,,"0","0",,,,,,,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,,,,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,,,,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,,,,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0","0",,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,,,,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
,,,,,"0","0",,,,"0","0",,
