ORBEGOZO,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_9,__EMPTY_10,__EMPTY_11,__EMPTY_13,__EMPTY_14,__EMPTY_16,__EMPTY_17
"CÓDIGO","DESCRIPCIÓN","UNID.","IMPORTE BRUTO","33% DTO","3% DTO","3%DTO","5%DTO","IVA 21% + RECARGO 5,2%","MARGEN 30%","PVP WEB","P.V.P FINAL CLIENTE","BENEFICIO UNITARIO","BENEFICIO TOTAL","VENDIDAS","QUEDAN EN TIENDA"
"A/A",,,,,,,,,,,,,,,
"ADR128","A/A PORTATIL + CALEFACCION","1","265.8","0","0","7.974000000000001","12.891300000000001","244.93470000000002","318.41511",,"330","85.06529999999998","85.06529999999998",,
"ADR97","A/A PORTATIL  + CALEFACCION","1","177.6","0","0","5.327999999999999","8.613599999999998","163.6584","212.75592",,"230","66.3416","66.3416",,
,,,,"0","0","0","0","0","0",,,"0","0",,
,,,,"0","0","0","0","0","0",,,"0","0",,
"ASPIRADOR",,,,,,,,,,,,,,,
"AP4600","ASPIRADOR VERTICAL ","2","139","45.87","2.7939","0","4.516805","108.30395029","140.795135377",,"139","30.696049709999997","61.392099419999994",,
,,,,"0","0","0","0","0","0",,,"0","0",,
"BATIDORAS",,,,,,,,,,,,,,,
"BV2500","BATIDORA PORTATIL USB","4","24.3","8.019","0.48843","0","0.7896285000000001","18.933712173","24.6138258249","24.3","24","5.066287827","20.265151308","1","3"
"BA3600","AMASADORA DE MANO ORBEGOZO","4","29.7","9.801","0.59697","0","0.9651015000000001","23.141203767000004","30.083564897100008","29.7","29","5.858796232999996","23.435184931999984",,
"BT2680","BATIDORA MANO - 1000W","6","19.8","0","0.5940000000000001","0","0.9603","23.026073399999998","29.93389542","42","35","11.973926600000002","71.84355960000002","2","4"
,,,,,"0",,"0",,,,,,,,
"CAFETERAS",,,,,"0",,"0",,,,,,,,
"MO 3250","MOLINILLO CAFÉ - 150W","3","12.52","0","0","0.37560000000000004","0.60722","14.55992116","18.927897508","7.2","20","5.44007884","16.32023652",,
"KFR340","CAFETERA ITALIANA ROJA - 3TAZAS","4","7.2","2.376","0","0.14472","0.23396399999999995","5.609988791999999","7.292985429599999","7.2","8","2.3900112080000007","9.560044832000003","2","2"
"KF 900","CAFETERA ALUMINIO INOX - 9 TAZAS","4","14.1","4.6530000000000005","0.28341","0","0.45817949999999996","10.986228051","14.2820964663","15","15","4.013771949000001","16.055087796000002","1","3"
"KFR640","CAFETERA ITALIANA ROJA - 6TAZAS","4","8.96","2.9568","0","0.18009600000000006","0.29115520000000006","6.981319385600002","9.075715201280003","8.96","10","3.0186806143999982","12.074722457599993","1","3"
