,,,,,,,,,,,,,,,
,A/A - VENTILADORES - CALEFACTORES,,,,,,,,,,,,,,
,CÓDIGO,DESCRIPCIÓN,UNID.,IMPORTE BRUTO,DTO,"IVA 21% + RECARGO 5,2%",PRECIO CON MARGEN 25%,P.V.P     WEB,P.V.P FINAL CLIENTE,,VENDIDAS,QUEDAN EN TIENDA,,BENEFICIO UNITARIO,BENEFICIO TOTAL
,A/A,,,,,,,,,,,,,,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,,
,VENTILADORES,,,,  -   € ,  -   € ,  -   € ,,,,,,,,
55 €,VTCLASSIC105,VENTILADOR TECHO FM,1,"  42,49 € ","  42,49 € ","  53,62 € ","  67,03 € ","  64,26 € ","  60,00 € ",,,,,"  6,38 € ","  6,38 € "
,SB140,VENTILADOR SOBREMESA FM,1,"  26,69 € ","  26,69 € ","  33,68 € ","  42,10 € ","  40,37 € ","  40,00 € ",,,,,"  6,32 € ","  6,32 € "
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,CALEFACTORES,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,TOCAQH12F,CALEFACTOR MURAL TOSGO,2,"  10,52 € ","  10,52 € ","  13,28 € ","  16,60 € ","  15,91 € ","  15,00 € ",,1,1,,"  1,72 € ","  3,45 € "
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
,,,,,,  -   € ,  -   € ,,,,,,,  -   € ,
