,,,,,,,,,,,,,,,
,PAE,,,,,,,,,,,,,,
,CÓDIGO,DESCRIPCIÓN,UNID.,IMPORTE BRUTO,DTO,"IVA 21% + RECARGO 5,2%",PRECIO CON MARGEN 25%,P.V.P     WEB,P.V.P FINAL CLIENTE,,VENDIDAS,QUEDAN EN TIENDA,,BENEFICIO UNITARIO,BENEFICIO TOTAL
,ASPIRADORAS,,,,,,,,,,,,,,
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,PLANCHAS ROPA,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,  -   € 
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,
,PLANCHAS COCINA,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,
,TB2203,PLANCHA COCINA ORBEGOZO,1,"  26,00 € ","  26,00 € ","  32,81 € ","  41,02 € ","  40,53 € ","  38,00 € ",,,,,"  5,19 € ","  5,19 € "
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,
,PLANCHAS/SECADORES PELO,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,
,SF3210F0,PLANCHA PELO ROWENTA OPTILIS,1,"  18,78 € ","  18,78 € ","  23,70 € ","  29,63 € ","  29,28 € ","  29,00 € ",,,,,"  5,30 € ","  5,30 € "
,4210,SECADOR BAMBA IONICARE,1,"  20,45 € ","  13,89 € ","  17,52 € ","  21,90 € ","  30,93 € ","  30,00 € ",,,,,"  12,48 € ","  12,48 € "
,4248,PLANCHA PELO CECOTEC-BAMBA RITUALCARE,1,"  22,50 € ","  15,28 € ","  19,28 € ","  24,10 € ","  34,04 € ","  35,00 € ",,,,,"  15,72 € ","  15,72 € "
,3385,CEPILLO CECOTEC AIRFLOW,2,"  32,90 € ","  32,90 € ","  41,52 € ","  51,90 € ","  53,07 € ","  50,00 € ",,1,1,,"  8,48 € ","  16,96 € "
,TRIP&DRY,SECADOR UFESA 1600W,1,"  12,50 € ","  12,50 € ","  15,78 € ","  19,72 € ","  20,17 € ","  19,00 € ",,,,,"  3,23 € ","  3,23 € "
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,
,BATIDORAS,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,
,MQ3000WH,BATIDORA BRAUN MULTI QUICK 3,1,"  24,59 € ","  24,59 € ","  31,03 € ","  38,79 € ","  37,20 € ","  30,00 € ",35,,,,"- 1,03 € ","- 1,03 € "
,DD451110,BATIDORA MOULINEX ,1,"  25,84 € ","  25,84 € ","  32,61 € ","  40,76 € ","  39,08 € ","  29,00 € ",39,,,,"- 3,61 € ","- 3,61 € "
,MFQ36460,BATIDORA BOSCH/AMASADORA,1,"  29,97 € ","  29,97 € ","  37,82 € ","  47,28 € ","  46,73 € ","  35,00 € ",45,,,,"- 2,82 € ","- 2,82 € "
,DD655D10,BATIDORA MOULINEX CHEF 1000W,1,"  37,23 € ","  37,23 € ","  46,98 € ","  58,73 € ","  58,04 € ","  45,00 € ",55,,,,"- 1,98 € ","- 1,98 € "
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,
,TOSTADORES /SANDWICHERAS,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,
,3208,TOSTADOR VINTAGE AMARILLO,1,"  31,38 € ","  31,38 € ","  39,60 € ","  49,50 € ","  47,47 € ","  45,00 € ",,,,,"  5,40 € ","  5,40 € "
,TT7963ACTIVA,TOSTADOR UFESA 700W,2,"  18,18 € ","  18,18 € ","  22,94 € ","  28,68 € ","  47,47 € ","  35,00 € ",,,,,"  12,06 € ","  24,11 € "
,,,,,  -   € ,  -   € ,  -   € ,,,,,,,  -   € ,
