,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"DEVOLUCIONES, ROTURAS, …",,,,,,,,,,,,,
,,,,,,,,,,,,,,
RETIRADA POR PACO,,,,,,,,,,,,,,
JULIO´23,TAC12CHSDXA75I,A/A TCL INVERTER,1,"228,17","  11,86 € ","  47,92 € ","  287,95 € ",ABONADO ,18/2/2024,"A/HA ROTO, SE CAMBIA POR UN THOMSON",,,,(SE LO LLEVA SERVICIO TÉCNICO)
,,,,,,,,,,,,,,
SEPT´23,HO321,MINI HORNO ORBEGOZO HO321,1,"  58,84 € ","  3,06 € ","  71,20 € ","  74,26 € ",ABONADO ,9/11/2023,"PUERTA ROTA, SE QUEDA ABIERTA POR LA ESQUINA",,,,(SE LO LLEVA PACO)
,,,,,,,,,,,,,,
OCT´23,03051,FREIDORA CECOTEC AIRE CECOFRY RAPIDE,1,"  29,99 € ","  1,56 € ","  36,29 € ","  37,85 € ",ABONADO ,9/11/2023,"ROTA, NO FUNCIONA. LA CAJA VINO ABIERTA",,,,(SE LO LLEVA PACO)
OCT´23,3208,TOSTADOR VINTAGE AZUL,1,"  31,38 € ","  1,63 € ","  37,97 € ","  39,60 € ",ABONADO ,9/11/2023,"ROTO, NO BAJABA LA PALANCA DE LAS TOSTADAS.",,,,(SE LO LLEVA PACO)
,,,,,,,  -   € ,,,,,,,
NOV´23,HO392,MINO HORNO ORBEGOZO 39L NEGRO,1,"  63,45 € ","  3,30 € ","  76,77 € ","  80,07 € ",ABONADO ,6/1/2024,"BOTONES DESCONCHADOS, TECHO ARAÑADO",,,,(SE LO LLEVA PACO)
NOV´23,5402,HIDROLIMPIADORA CECOTEC,1,"  68,40 € ","  3,56 € ","  82,76 € ","  86,32 € ",ABONADO ,6/1/2024,GOMA AGUA REVENTADA CON AGUJEROS ,,,,(SE LO LLEVA PACO)
NOV´23,5561,ASPIRADOR DIGITAL MANO CONGA ROCKSTAR MICRO 120,1,"  49,49 € ","  2,57 € ","  59,88 € ","  62,46 € ",ABONADO ,6/1/2024,"ROTO, EMPIEZA A SALIR HUMO SEGÚN EL CLIENTE",,,,(SE LO LLEVA PACO)
NOV´23,CBG6251XGG,CAMPANA CANDY ACERO INOX,1,"  55,81 € ","  2,90 € ","  67,53 € ","  70,43 € ",ABONADO ,4/1/2024,NO SE LA LLEVO EL CLIENTE. NO ESTABA ROTA,,,,(SE LO LLEVA PACO)
,,,,,,,  -   € ,,,,,,,
ENE´24,TOCA1180V,CALEFACTOR QUARZO TOSGO,1,"  9,00 € ","  0,47 € ","  10,89 € ","  11,36 € ", ABONADO,7/3/2024,BOLLO POR LA PARTE DE ARRIBA,,,, (SE LO LLEVA PACO)
